Time, Quadrant, Color, Event Type
1.9971, 1, yellow, Entry
2.096966666666667, 4, orange, Entry
2.130255555555556, 1, yellow, Exit
2.130255555555556, 3, yellow, Entry
2.7627444444444444, 1, white, Entry
2.7960333333333334, 1, white, Exit
4.360311111111112, 1, orange, Entry
4.360311111111112, 4, orange, Exit
5.225644444444445, 1, orange, Entry
5.325588888888889, 1, orange, Exit
5.325588888888889, 2, orange, Entry
5.824755555555556, 1, white, Entry
5.858033333333333, 1, white, Exit
9.053600000000001, 2, white, Entry
9.952233333333334, 1, white, Entry
9.952233333333334, 2, white, Exit
11.982622222222222, 2, white, Entry
12.0492, 1, orange, Entry
12.0492, 2, orange, Exit
12.082422222222222, 1, orange, Entry
12.182455555555556, 1, white, Entry
12.182455555555556, 2, white, Exit
12.215633333333335, 2, white, Entry
12.248811111111111, 2, white, Exit
12.315477777777778, 2, white, Entry
12.348755555555556, 2, white, Exit
15.61068888888889, 1, orange, Exit
15.677222222222223, 1, orange, Entry
15.743822222222223, 1, orange, Exit
15.777122222222221, 1, orange, Entry
15.943422222222223, 1, orange, Exit
16.010155555555556, 1, orange, Entry
17.408077777777777, 1, white, Entry
17.6411, 1, white, Exit
17.6411, 4, white, Entry
17.774255555555555, 4, white, Exit
20.736622222222223, 1, white, Entry
20.83641111111111, 1, white, Exit
20.83641111111111, 1, orange, Exit
20.869755555555557, 1, orange, Entry
20.902977777777778, 1, orange, Exit
21.002933333333335, 1, white, Entry
21.069422222222222, 1, white, Exit
23.299500000000002, 1, white, Entry
23.332866666666668, 1, white, Exit
23.36606666666667, 1, orange, Entry
23.39926666666667, 4, white, Entry
23.465922222222222, 4, white, Exit
23.7987, 1, orange, Exit
26.361733333333333, 2, orange, Entry
27.09407777777778, 1, orange, Entry
27.09407777777778, 2, orange, Exit
27.127366666666667, 1, orange, Entry
27.160655555555557, 1, orange, Exit
27.39347777777778, 1, orange, Entry
28.059355555555555, 1, orange, Exit
28.125933333333336, 2, orange, Entry
29.390644444444447, 1, orange, Entry
29.390644444444447, 2, orange, Exit
29.423922222222224, 1, orange, Entry
29.4572, 1, white, Entry
29.4572, 1, orange, Exit
29.4572, 2, orange, Entry
29.52391111111111, 1, white, Exit
29.557133333333336, 1, white, Entry
29.590355555555558, 1, white, Exit
30.023044444444444, 1, orange, Entry
30.023044444444444, 2, orange, Exit
30.056322222222224, 2, orange, Entry
32.81914444444445, 2, white, Entry
32.85228888888889, 2, white, Exit
32.95215555555556, 1, orange, Entry
32.95215555555556, 2, orange, Exit
32.98544444444445, 1, orange, Entry
33.01873333333334, 1, orange, Exit
33.01873333333334, 2, orange, Entry
33.81756666666667, 3, green, Entry
35.981122222222226, 3, yellow, Exit
36.01437777777778, 1, yellow, Entry
36.114333333333335, 1, orange, Entry
36.114333333333335, 2, orange, Exit
36.147533333333335, 2, orange, Entry
37.27917777777778, 1, white, Entry
37.37916666666667, 1, white, Exit
41.63953333333333, 2, orange, Exit
41.70608888888889, 1, orange, Entry
41.939033333333334, 1, orange, Exit
43.603366666666666, 1, white, Entry
43.669922222222226, 1, white, Exit
43.669922222222226, 1, orange, Entry
43.80303333333334, 1, orange, Exit
43.93626666666667, 1, white, Entry
43.969544444444445, 1, white, Exit
46.13308888888889, 1, white, Entry
46.16637777777778, 1, white, Exit
46.232955555555556, 1, orange, Entry
48.662755555555556, 1, yellow, Exit
