Time, Quadrant, Color, Event Type
2.995677777777778,3,Yellow,Entry
5.9912888888888896,2,White,Entry
9.985511111111112,4,Green,Entry
13.980144444444445,1,Orange,Entry
16.975466666666666,2,White,Exit
18.97246666666667,4,Green,Exit
21.968122222222224,1,Orange,Exit
23.96518888888889,1,Orange,Entry
23.96518888888889,4,White,Entry
25.962311111111113,1,Orange,Exit
25.962311111111113,2,White,Entry
25.962311111111113,1,Orange,Entry
28.957922222222223,1,Orange,Exit
29.95648888888889,1,Orange,Entry
29.95648888888889,3,Yellow,Exit
31.95357777777778,3,Yellow,Entry
34.94925555555556,1,Orange,Exit
36.946466666666666,1,Orange,Entry
43.93626666666667,1,Yellow,Exit
46.93196666666667,3,Green,Exit
48.929033333333344,1,Yellow,Entry
48.929033333333344,3,Green,Entry
49.92761111111111,2,Orange,Exit
50.92617777777778,1,Yellow,Exit
50.92617777777778,2,Orange,Entry
51.92478888888889,1,Yellow,Entry
55.91894444444445,4,White,Exit
56.917500000000004,2,Orange,Exit
56.917500000000004,4,Green,Entry
57.91614444444445,2,Orange,Entry
64.90603333333334,4,Green,Exit
65.90451111111112,1,Orange,Exit
70.89731111111111,1,Yellow,Entry
73.89303333333334,2,White,Exit
74.89156666666668,2,White,Entry
77.8870888888889,4,Green,Entry
84.87717777777779,1,Yellow,Exit
85.87566666666667,1,Yellow,Entry
86.8742,1,Yellow,Exit
86.8742,4,Orange,Exit
92.86564444444446,1,Orange,Entry
94.86276666666667,3,Yellow,Exit
94.86276666666667,3,Yellow,Entry
96.85976666666667,3,Yellow,Exit
98.85685555555555,4,Green,Entry
99.8554888888889,3,Yellow,Entry
